,Notes,PC Set,Prime Form,Accidents
1290,Cn D# Eb F# G# An Bb,033689A,0035679,"(0, 1, -1, 1, 1, 0, -1)"
1291,Cn D# Eb F# G# An Bn,033689B,0035689,"(0, 1, -1, 1, 1, 0, 0)"
1292,Cn D# Eb F# G# An B#,0336890,0034699,"(0, 1, -1, 1, 1, 0, 1)"
1293,Cn D# Eb F# G# A# Bb,03368AA,0035779,"(0, 1, -1, 1, 1, 1, -1)"
1294,Cn D# Eb F# G# A# Bn,03368AB,0035789,"(0, 1, -1, 1, 1, 1, 0)"
1295,Cn D# Eb F# G# A# B#,03368A0,0024699,"(0, 1, -1, 1, 1, 1, 1)"
1296,Cn D# En Fb Gb Ab Bb,034468A,0113579,"(0, 1, 0, -1, -1, -1, -1)"
1297,Cn D# En Fb Gb Ab Bn,034468B,0113589,"(0, 1, 0, -1, -1, -1, 0)"
1298,Cn D# En Fb Gb Ab B#,0344680,0034468,"(0, 1, 0, -1, -1, -1, 1)"
1299,Cn D# En Fb Gb An Bb,034469A,0113679,"(0, 1, 0, -1, -1, 0, -1)"
1300,Cn D# En Fb Gb An Bn,034469B,0113689,"(0, 1, 0, -1, -1, 0, 0)"
1301,Cn D# En Fb Gb An B#,0344690,0036889,"(0, 1, 0, -1, -1, 0, 1)"
1302,Cn D# En Fb Gb A# Bb,03446AA,0025668,"(0, 1, 0, -1, -1, 1, -1)"
1303,Cn D# En Fb Gb A# Bn,03446AB,0125668,"(0, 1, 0, -1, -1, 1, 0)"
1304,Cn D# En Fb Gb A# B#,03446A0,0223668,"(0, 1, 0, -1, -1, 1, 1)"
1305,Cn D# En Fb Gn Ab Bb,034478A,0114579,"(0, 1, 0, -1, 0, -1, -1)"
1306,Cn D# En Fb Gn Ab Bn,034478B,0114589,"(0, 1, 0, -1, 0, -1, 0)"
1307,Cn D# En Fb Gn Ab B#,0344780,0034478,"(0, 1, 0, -1, 0, -1, 1)"
1308,Cn D# En Fb Gn An Bb,034479A,0114679,"(0, 1, 0, -1, 0, 0, -1)"
1309,Cn D# En Fb Gn An Bn,034479B,0114689,"(0, 1, 0, -1, 0, 0, 0)"
1310,Cn D# En Fb Gn An B#,0344790,0035889,"(0, 1, 0, -1, 0, 0, 1)"
1311,Cn D# En Fb Gn A# Bb,03447AA,0114779,"(0, 1, 0, -1, 0, 1, -1)"
1312,Cn D# En Fb Gn A# Bn,03447AB,0114789,"(0, 1, 0, -1, 0, 1, 0)"
1313,Cn D# En Fb Gn A# B#,03447A0,0025889,"(0, 1, 0, -1, 0, 1, 1)"
1314,Cn D# En Fb G# Ab Bb,034488A,0014688,"(0, 1, 0, -1, 1, -1, -1)"
1315,Cn D# En Fb G# Ab Bn,034488B,0014588,"(0, 1, 0, -1, 1, -1, 0)"
1316,Cn D# En Fb G# Ab B#,0344880,0014488,"(0, 1, 0, -1, 1, -1, 1)"
1317,Cn D# En Fb G# An Bb,034489A,0014678,"(0, 1, 0, -1, 1, 0, -1)"
1318,Cn D# En Fb G# An Bn,034489B,0014578,"(0, 1, 0, -1, 1, 0, 0)"
1319,Cn D# En Fb G# An B#,0344890,0014478,"(0, 1, 0, -1, 1, 0, 1)"
1320,Cn D# En Fb G# A# Bb,03448AA,0014668,"(0, 1, 0, -1, 1, 1, -1)"
1321,Cn D# En Fb G# A# Bn,03448AB,0014568,"(0, 1, 0, -1, 1, 1, 0)"
1322,Cn D# En Fb G# A# B#,03448A0,0014468,"(0, 1, 0, -1, 1, 1, 1)"
1323,Cn D# En Fn Gb Ab Bb,034568A,0123579,"(0, 1, 0, 0, -1, -1, -1)"
1324,Cn D# En Fn Gb Ab Bn,034568B,0123589,"(0, 1, 0, 0, -1, -1, 0)"
1325,Cn D# En Fn Gb Ab B#,0345680,0034568,"(0, 1, 0, 0, -1, -1, 1)"
1326,Cn D# En Fn Gb An Bb,034569A,0123679,"(0, 1, 0, 0, -1, 0, -1)"
1327,Cn D# En Fn Gb An Bn,034569B,0123689,"(0, 1, 0, 0, -1, 0, 0)"
1328,Cn D# En Fn Gb An B#,0345690,0036789,"(0, 1, 0, 0, -1, 0, 1)"
1329,Cn D# En Fn Gb A# Bb,03456AA,0025678,"(0, 1, 0, 0, -1, 1, -1)"
1330,Cn D# En Fn Gb A# Bn,03456AB,0123678,"(0, 1, 0, 0, -1, 1, 0)"
1331,Cn D# En Fn Gb A# B#,03456A0,0123668,"(0, 1, 0, 0, -1, 1, 1)"
1332,Cn D# En Fn Gn Ab Bb,034578A,0124579,"(0, 1, 0, 0, 0, -1, -1)"
1333,Cn D# En Fn Gn Ab Bn,034578B,0124589,"(0, 1, 0, 0, 0, -1, 0)"
1334,Cn D# En Fn Gn Ab B#,0345780,0034578,"(0, 1, 0, 0, 0, -1, 1)"
1335,Cn D# En Fn Gn An Bb,034579A,0124679,"(0, 1, 0, 0, 0, 0, -1)"
1336,Cn D# En Fn Gn An Bn,034579B,0124689,"(0, 1, 0, 0, 0, 0, 0)"
1337,Cn D# En Fn Gn An B#,0345790,0035789,"(0, 1, 0, 0, 0, 0, 1)"
1338,Cn D# En Fn Gn A# Bb,03457AA,0124779,"(0, 1, 0, 0, 0, 1, -1)"
1339,Cn D# En Fn Gn A# Bn,03457AB,0124789,"(0, 1, 0, 0, 0, 1, 0)"
1340,Cn D# En Fn Gn A# B#,03457A0,0025789,"(0, 1, 0, 0, 0, 1, 1)"
1341,Cn D# En Fn G# Ab Bb,034588A,0125579,"(0, 1, 0, 0, 1, -1, -1)"
1342,Cn D# En Fn G# Ab Bn,034588B,0125589,"(0, 1, 0, 0, 1, -1, 0)"
1343,Cn D# En Fn G# Ab B#,0345880,0034588,"(0, 1, 0, 0, 1, -1, 1)"
1344,Cn D# En Fn G# An Bb,034589A,0125679,"(0, 1, 0, 0, 1, 0, -1)"
1345,Cn D# En Fn G# An Bn,034589B,0125689,"(0, 1, 0, 0, 1, 0, 0)"
1346,Cn D# En Fn G# An B#,0345890,0034789,"(0, 1, 0, 0, 1, 0, 1)"
1347,Cn D# En Fn G# A# Bb,03458AA,0125779,"(0, 1, 0, 0, 1, 1, -1)"
1348,Cn D# En Fn G# A# Bn,03458AB,0124789,"(0, 1, 0, 0, 1, 1, 0)"
1349,Cn D# En Fn G# A# B#,03458A0,0024789,"(0, 1, 0, 0, 1, 1, 1)"
1350,Cn D# En F# Gb Ab Bb,034668A,0133579,"(0, 1, 0, 1, -1, -1, -1)"
1351,Cn D# En F# Gb Ab Bn,034668B,0133589,"(0, 1, 0, 1, -1, -1, 0)"
1352,Cn D# En F# Gb Ab B#,0346680,0034668,"(0, 1, 0, 1, -1, -1, 1)"
1353,Cn D# En F# Gb An Bb,034669A,0133679,"(0, 1, 0, 1, -1, 0, -1)"
1354,Cn D# En F# Gb An Bn,034669B,0133689,"(0, 1, 0, 1, -1, 0, 0)"
1355,Cn D# En F# Gb An B#,0346690,0036689,"(0, 1, 0, 1, -1, 0, 1)"
1356,Cn D# En F# Gb A# Bb,03466AA,0023688,"(0, 1, 0, 1, -1, 1, -1)"
1357,Cn D# En F# Gb A# Bn,03466AB,0023678,"(0, 1, 0, 1, -1, 1, 0)"
1358,Cn D# En F# Gb A# B#,03466A0,0023668,"(0, 1, 0, 1, -1, 1, 1)"
1359,Cn D# En F# Gn Ab Bb,034678A,0134579,"(0, 1, 0, 1, 0, -1, -1)"
1360,Cn D# En F# Gn Ab Bn,034678B,0134589,"(0, 1, 0, 1, 0, -1, 0)"
1361,Cn D# En F# Gn Ab B#,0346780,0034678,"(0, 1, 0, 1, 0, -1, 1)"
1362,Cn D# En F# Gn An Bb,034679A,0134679,"(0, 1, 0, 1, 0, 0, -1)"
1363,Cn D# En F# Gn An Bn,034679B,0134689,"(0, 1, 0, 1, 0, 0, 0)"
1364,Cn D# En F# Gn An B#,0346790,0035689,"(0, 1, 0, 1, 0, 0, 1)"
1365,Cn D# En F# Gn A# Bb,03467AA,0134779,"(0, 1, 0, 1, 0, 1, -1)"
1366,Cn D# En F# Gn A# Bn,03467AB,0125689,"(0, 1, 0, 1, 0, 1, 0)"
1367,Cn D# En F# Gn A# B#,03467A0,0025689,"(0, 1, 0, 1, 0, 1, 1)"
1368,Cn D# En F# G# Ab Bb,034688A,0135579,"(0, 1, 0, 1, 1, -1, -1)"
1369,Cn D# En F# G# Ab Bn,034688B,0135589,"(0, 1, 0, 1, 1, -1, 0)"
1370,Cn D# En F# G# Ab B#,0346880,0024588,"(0, 1, 0, 1, 1, -1, 1)"
1371,Cn D# En F# G# An Bb,034689A,0135679,"(0, 1, 0, 1, 1, 0, -1)"
1372,Cn D# En F# G# An Bn,034689B,0134689,"(0, 1, 0, 1, 1, 0, 0)"
1373,Cn D# En F# G# An B#,0346890,0034689,"(0, 1, 0, 1, 1, 0, 1)"
1374,Cn D# En F# G# A# Bb,03468AA,0135779,"(0, 1, 0, 1, 1, 1, -1)"
1375,Cn D# En F# G# A# Bn,03468AB,0124689,"(0, 1, 0, 1, 1, 1, 0)"
1376,Cn D# En F# G# A# B#,03468A0,0024689,"(0, 1, 0, 1, 1, 1, 1)"
1377,Cn D# E# Fb Gb Ab Bb,035468A,023579B,"(0, 1, 1, -1, -1, -1, -1)"
1378,Cn D# E# Fb Gb Ab Bn,035468B,014689B,"(0, 1, 1, -1, -1, -1, 0)"
1379,Cn D# E# Fb Gb Ab B#,0354680,003568A,"(0, 1, 1, -1, -1, -1, 1)"
1380,Cn D# E# Fb Gb An Bb,035469A,023589B,"(0, 1, 1, -1, -1, 0, -1)"
1381,Cn D# E# Fb Gb An Bn,035469B,013689B,"(0, 1, 1, -1, -1, 0, 0)"
1382,Cn D# E# Fb Gb An B#,0354690,003689B,"(0, 1, 1, -1, -1, 0, 1)"
1383,Cn D# E# Fb Gb A# Bb,03546AA,002578A,"(0, 1, 1, -1, -1, 1, -1)"
1384,Cn D# E# Fb Gb A# Bn,03546AB,012578A,"(0, 1, 1, -1, -1, 1, 0)"
1385,Cn D# E# Fb Gb A# B#,03546A0,022578A,"(0, 1, 1, -1, -1, 1, 1)"
1386,Cn D# E# Fb Gn Ab Bb,035478A,023679B,"(0, 1, 1, -1, 0, -1, -1)"
1387,Cn D# E# Fb Gn Ab Bn,035478B,014589B,"(0, 1, 1, -1, 0, -1, 0)"
1388,Cn D# E# Fb Gn Ab B#,0354780,003569A,"(0, 1, 1, -1, 0, -1, 1)"
1389,Cn D# E# Fb Gn An Bb,035479A,023589B,"(0, 1, 1, -1, 0, 0, -1)"
1390,Cn D# E# Fb Gn An Bn,035479B,013589B,"(0, 1, 1, -1, 0, 0, 0)"
1391,Cn D# E# Fb Gn An B#,0354790,003589B,"(0, 1, 1, -1, 0, 0, 1)"
1392,Cn D# E# Fb Gn A# Bb,03547AA,022589B,"(0, 1, 1, -1, 0, 1, -1)"
1393,Cn D# E# Fb Gn A# Bn,03547AB,012589B,"(0, 1, 1, -1, 0, 1, 0)"
1394,Cn D# E# Fb Gn A# B#,03547A0,002589B,"(0, 1, 1, -1, 0, 1, 1)"
1395,Cn D# E# Fb G# Ab Bb,035488A,002479A,"(0, 1, 1, -1, 1, -1, -1)"
1396,Cn D# E# Fb G# Ab Bn,035488B,003479A,"(0, 1, 1, -1, 1, -1, 0)"
1397,Cn D# E# Fb G# Ab B#,0354880,004479A,"(0, 1, 1, -1, 1, -1, 1)"
1398,Cn D# E# Fb G# An Bb,035489A,012479A,"(0, 1, 1, -1, 1, 0, -1)"
1399,Cn D# E# Fb G# An Bn,035489B,013479A,"(0, 1, 1, -1, 1, 0, 0)"
1400,Cn D# E# Fb G# An B#,0354890,013669A,"(0, 1, 1, -1, 1, 0, 1)"
1401,Cn D# E# Fb G# A# Bb,03548AA,013688A,"(0, 1, 1, -1, 1, 1, -1)"
1402,Cn D# E# Fb G# A# Bn,03548AB,013678A,"(0, 1, 1, -1, 1, 1, 0)"
1403,Cn D# E# Fb G# A# B#,03548A0,013668A,"(0, 1, 1, -1, 1, 1, 1)"
1404,Cn D# E# Fn Gb Ab Bb,035568A,0223579,"(0, 1, 1, 0, -1, -1, -1)"
1405,Cn D# E# Fn Gb Ab Bn,035568B,0146779,"(0, 1, 1, 0, -1, -1, 0)"
1406,Cn D# E# Fn Gb Ab B#,0355680,0035568,"(0, 1, 1, 0, -1, -1, 1)"
1407,Cn D# E# Fn Gb An Bb,035569A,0223679,"(0, 1, 1, 0, -1, 0, -1)"
1408,Cn D# E# Fn Gb An Bn,035569B,0136779,"(0, 1, 1, 0, -1, 0, 0)"
1409,Cn D# E# Fn Gb An B#,0355690,0036779,"(0, 1, 1, 0, -1, 0, 1)"
1410,Cn D# E# Fn Gb A# Bb,03556AA,0025778,"(0, 1, 1, 0, -1, 1, -1)"
1411,Cn D# E# Fn Gb A# Bn,03556AB,0113678,"(0, 1, 1, 0, -1, 1, 0)"
1412,Cn D# E# Fn Gb A# B#,03556A0,0113668,"(0, 1, 1, 0, -1, 1, 1)"
1413,Cn D# E# Fn Gn Ab Bb,035578A,0224579,"(0, 1, 1, 0, 0, -1, -1)"
1414,Cn D# E# Fn Gn Ab Bn,035578B,0145779,"(0, 1, 1, 0, 0, -1, 0)"
1415,Cn D# E# Fn Gn Ab B#,0355780,0035578,"(0, 1, 1, 0, 0, -1, 1)"
1416,Cn D# E# Fn Gn An Bb,035579A,0224679,"(0, 1, 1, 0, 0, 0, -1)"
1417,Cn D# E# Fn Gn An Bn,035579B,0135779,"(0, 1, 1, 0, 0, 0, 0)"
1418,Cn D# E# Fn Gn An B#,0355790,0035779,"(0, 1, 1, 0, 0, 0, 1)"
1419,Cn D# E# Fn Gn A# Bb,03557AA,0224779,"(0, 1, 1, 0, 0, 1, -1)"
1420,Cn D# E# Fn Gn A# Bn,03557AB,0125779,"(0, 1, 1, 0, 0, 1, 0)"
1421,Cn D# E# Fn Gn A# B#,03557A0,0025779,"(0, 1, 1, 0, 0, 1, 1)"
1422,Cn D# E# Fn G# Ab Bb,035588A,0225579,"(0, 1, 1, 0, 1, -1, -1)"
1423,Cn D# E# Fn G# Ab Bn,035588B,0144779,"(0, 1, 1, 0, 1, -1, 0)"
1424,Cn D# E# Fn G# Ab B#,0355880,0033588,"(0, 1, 1, 0, 1, -1, 1)"
1425,Cn D# E# Fn G# An Bb,035589A,0225679,"(0, 1, 1, 0, 1, 0, -1)"
1426,Cn D# E# Fn G# An Bn,035589B,0134779,"(0, 1, 1, 0, 1, 0, 0)"
1427,Cn D# E# Fn G# An B#,0355890,0034779,"(0, 1, 1, 0, 1, 0, 1)"
1428,Cn D# E# Fn G# A# Bb,03558AA,0224779,"(0, 1, 1, 0, 1, 1, -1)"
1429,Cn D# E# Fn G# A# Bn,03558AB,0124779,"(0, 1, 1, 0, 1, 1, 0)"
1430,Cn D# E# Fn G# A# B#,03558A0,0024779,"(0, 1, 1, 0, 1, 1, 1)"
1431,Cn D# E# F# Gb Ab Bb,035668A,0233579,"(0, 1, 1, 1, -1, -1, -1)"
1432,Cn D# E# F# Gb Ab Bn,035668B,0146679,"(0, 1, 1, 1, -1, -1, 0)"
1433,Cn D# E# F# Gb Ab B#,0356680,0035668,"(0, 1, 1, 1, -1, -1, 1)"
1434,Cn D# E# F# Gb An Bb,035669A,0233679,"(0, 1, 1, 1, -1, 0, -1)"
1435,Cn D# E# F# Gb An Bn,035669B,0136679,"(0, 1, 1, 1, -1, 0, 0)"
1436,Cn D# E# F# Gb An B#,0356690,0036679,"(0, 1, 1, 1, -1, 0, 1)"
1437,Cn D# E# F# Gb A# Bb,03566AA,0013688,"(0, 1, 1, 1, -1, 1, -1)"
1438,Cn D# E# F# Gb A# Bn,03566AB,0013678,"(0, 1, 1, 1, -1, 1, 0)"
1439,Cn D# E# F# Gb A# B#,03566A0,0013668,"(0, 1, 1, 1, -1, 1, 1)"
1440,Cn D# E# F# Gn Ab Bb,035678A,0234579,"(0, 1, 1, 1, 0, -1, -1)"
1441,Cn D# E# F# Gn Ab Bn,035678B,0145679,"(0, 1, 1, 1, 0, -1, 0)"
1442,Cn D# E# F# Gn Ab B#,0356780,0035678,"(0, 1, 1, 1, 0, -1, 1)"
1443,Cn D# E# F# Gn An Bb,035679A,0234679,"(0, 1, 1, 1, 0, 0, -1)"
1444,Cn D# E# F# Gn An Bn,035679B,0135679,"(0, 1, 1, 1, 0, 0, 0)"
1445,Cn D# E# F# Gn An B#,0356790,0035679,"(0, 1, 1, 1, 0, 0, 1)"
1446,Cn D# E# F# Gn A# Bb,03567AA,0225679,"(0, 1, 1, 1, 0, 1, -1)"
1447,Cn D# E# F# Gn A# Bn,03567AB,0125679,"(0, 1, 1, 1, 0, 1, 0)"
1448,Cn D# E# F# Gn A# B#,03567A0,0025679,"(0, 1, 1, 1, 0, 1, 1)"
1449,Cn D# E# F# G# Ab Bb,035688A,0235579,"(0, 1, 1, 1, 1, -1, -1)"
1450,Cn D# E# F# G# Ab Bn,035688B,0144679,"(0, 1, 1, 1, 1, -1, 0)"
1451,Cn D# E# F# G# Ab B#,0356880,0023588,"(0, 1, 1, 1, 1, -1, 1)"
1452,Cn D# E# F# G# An Bb,035689A,0234679,"(0, 1, 1, 1, 1, 0, -1)"
1453,Cn D# E# F# G# An Bn,035689B,0134679,"(0, 1, 1, 1, 1, 0, 0)"
1454,Cn D# E# F# G# An B#,0356890,0034679,"(0, 1, 1, 1, 1, 0, 1)"
1455,Cn D# E# F# G# A# Bb,03568AA,0224679,"(0, 1, 1, 1, 1, 1, -1)"
1456,Cn D# E# F# G# A# Bn,03568AB,0124679,"(0, 1, 1, 1, 1, 1, 0)"
1457,Cn D# E# F# G# A# B#,03568A0,0024679,"(0, 1, 1, 1, 1, 1, 1)"
1458,C# Db Eb Fb Gb Ab Bb,113468A,0023579,"(1, -1, -1, -1, -1, -1, -1)"
1459,C# Db Eb Fb Gb Ab Bn,113468B,0224579,"(1, -1, -1, -1, -1, -1, 0)"
1460,C# Db Eb Fb Gb Ab B#,1134680,0113468,"(1, -1, -1, -1, -1, -1, 1)"
1461,C# Db Eb Fb Gb An Bb,113469A,0144679,"(1, -1, -1, -1, -1, 0, -1)"
1462,C# Db Eb Fb Gb An Bn,113469B,0235579,"(1, -1, -1, -1, -1, 0, 0)"
1463,C# Db Eb Fb Gb An B#,1134690,0235569,"(1, -1, -1, -1, -1, 0, 1)"
1464,C# Db Eb Fb Gb A# Bb,11346AA,0033568,"(1, -1, -1, -1, -1, 1, -1)"
1465,C# Db Eb Fb Gb A# Bn,11346AB,0133568,"(1, -1, -1, -1, -1, 1, 0)"
1466,C# Db Eb Fb Gb A# B#,11346A0,0233568,"(1, -1, -1, -1, -1, 1, 1)"
1467,C# Db Eb Fb Gn Ab Bb,113478A,0133689,"(1, -1, -1, -1, 0, -1, -1)"
1468,C# Db Eb Fb Gn Ab Bn,113478B,0133589,"(1, -1, -1, -1, 0, -1, 0)"
1469,C# Db Eb Fb Gn Ab B#,1134780,0113478,"(1, -1, -1, -1, 0, -1, 1)"
1470,C# Db Eb Fb Gn An Bb,113479A,0133679,"(1, -1, -1, -1, 0, 0, -1)"
1471,C# Db Eb Fb Gn An Bn,113479B,0133579,"(1, -1, -1, -1, 0, 0, 0)"
1472,C# Db Eb Fb Gn An B#,1134790,0133479,"(1, -1, -1, -1, 0, 0, 1)"
1473,C# Db Eb Fb Gn A# Bb,11347AA,0133669,"(1, -1, -1, -1, 0, 1, -1)"
1474,C# Db Eb Fb Gn A# Bn,11347AB,0133569,"(1, -1, -1, -1, 0, 1, 0)"
1475,C# Db Eb Fb Gn A# B#,11347A0,0133469,"(1, -1, -1, -1, 0, 1, 1)"
1476,C# Db Eb Fb G# Ab Bb,113488A,0025578,"(1, -1, -1, -1, 1, -1, -1)"
1477,C# Db Eb Fb G# Ab Bn,113488B,0035578,"(1, -1, -1, -1, 1, -1, 0)"
1478,C# Db Eb Fb G# Ab B#,1134880,0045578,"(1, -1, -1, -1, 1, -1, 1)"
1479,C# Db Eb Fb G# An Bb,113489A,0125578,"(1, -1, -1, -1, 1, 0, -1)"
1480,C# Db Eb Fb G# An Bn,113489B,0133578,"(1, -1, -1, -1, 1, 0, 0)"
1481,C# Db Eb Fb G# An B#,1134890,0133478,"(1, -1, -1, -1, 1, 0, 1)"
1482,C# Db Eb Fb G# A# Bb,11348AA,0133668,"(1, -1, -1, -1, 1, 1, -1)"
1483,C# Db Eb Fb G# A# Bn,11348AB,0133568,"(1, -1, -1, -1, 1, 1, 0)"
1484,C# Db Eb Fb G# A# B#,11348A0,0133468,"(1, -1, -1, -1, 1, 1, 1)"
1485,C# Db Eb Fn Gb Ab Bb,113568A,0024579,"(1, -1, -1, 0, -1, -1, -1)"
1486,C# Db Eb Fn Gb Ab Bn,113568B,0224679,"(1, -1, -1, 0, -1, -1, 0)"
1487,C# Db Eb Fn Gb Ab B#,1135680,0113568,"(1, -1, -1, 0, -1, -1, 1)"
1488,C# Db Eb Fn Gb An Bb,113569A,0135589,"(1, -1, -1, 0, -1, 0, -1)"
1489,C# Db Eb Fn Gb An Bn,113569B,0135579,"(1, -1, -1, 0, -1, 0, 0)"
1490,C# Db Eb Fn Gb An B#,1135690,0135569,"(1, -1, -1, 0, -1, 0, 1)"
1491,C# Db Eb Fn Gb A# Bb,11356AA,0033578,"(1, -1, -1, 0, -1, 1, -1)"
1492,C# Db Eb Fn Gb A# Bn,11356AB,0133578,"(1, -1, -1, 0, -1, 1, 0)"
1493,C# Db Eb Fn Gb A# B#,11356A0,0135568,"(1, -1, -1, 0, -1, 1, 1)"
1494,C# Db Eb Fn Gn Ab Bb,113578A,0024679,"(1, -1, -1, 0, 0, -1, -1)"
1495,C# Db Eb Fn Gn Ab Bn,113578B,0135779,"(1, -1, -1, 0, 0, -1, 0)"
1496,C# Db Eb Fn Gn Ab B#,1135780,0113578,"(1, -1, -1, 0, 0, -1, 1)"
1497,C# Db Eb Fn Gn An Bb,113579A,0024689,"(1, -1, -1, 0, 0, 0, -1)"
1498,C# Db Eb Fn Gn An Bn,113579B,002468A,"(1, -1, -1, 0, 0, 0, 0)"
1499,C# Db Eb Fn Gn An B#,1135790,0113579,"(1, -1, -1, 0, 0, 0, 1)"
1500,C# Db Eb Fn Gn A# Bb,11357AA,0033579,"(1, -1, -1, 0, 0, 1, -1)"
1501,C# Db Eb Fn Gn A# Bn,11357AB,0133579,"(1, -1, -1, 0, 0, 1, 0)"
1502,C# Db Eb Fn Gn A# B#,11357A0,0233579,"(1, -1, -1, 0, 0, 1, 1)"
1503,C# Db Eb Fn G# Ab Bb,113588A,0025579,"(1, -1, -1, 0, 1, -1, -1)"
1504,C# Db Eb Fn G# Ab Bn,113588B,0035579,"(1, -1, -1, 0, 1, -1, 0)"
1505,C# Db Eb Fn G# Ab B#,1135880,0035778,"(1, -1, -1, 0, 1, -1, 1)"
1506,C# Db Eb Fn G# An Bb,113589A,0125579,"(1, -1, -1, 0, 1, 0, -1)"
1507,C# Db Eb Fn G# An Bn,113589B,0135579,"(1, -1, -1, 0, 1, 0, 0)"
1508,C# Db Eb Fn G# An B#,1135890,0145579,"(1, -1, -1, 0, 1, 0, 1)"
1509,C# Db Eb Fn G# A# Bb,11358AA,0225579,"(1, -1, -1, 0, 1, 1, -1)"
1510,C# Db Eb Fn G# A# Bn,11358AB,0235579,"(1, -1, -1, 0, 1, 1, 0)"
1511,C# Db Eb Fn G# A# B#,11358A0,0244579,"(1, -1, -1, 0, 1, 1, 1)"
1512,C# Db Eb F# Gb Ab Bb,113668A,0024779,"(1, -1, -1, 1, -1, -1, -1)"
1513,C# Db Eb F# Gb Ab Bn,113668B,0025779,"(1, -1, -1, 1, -1, -1, 0)"
1514,C# Db Eb F# Gb Ab B#,1136680,0113668,"(1, -1, -1, 1, -1, -1, 1)"
1515,C# Db Eb F# Gb An Bb,113669A,0034779,"(1, -1, -1, 1, -1, 0, -1)"
1516,C# Db Eb F# Gb An Bn,113669B,0035779,"(1, -1, -1, 1, -1, 0, 0)"
1517,C# Db Eb F# Gb An B#,1136690,0036779,"(1, -1, -1, 1, -1, 0, 1)"
1518,C# Db Eb F# Gb A# Bb,11366AA,0033588,"(1, -1, -1, 1, -1, 1, -1)"
1519,C# Db Eb F# Gb A# Bn,11366AB,0035578,"(1, -1, -1, 1, -1, 1, 0)"
1520,C# Db Eb F# Gb A# B#,11366A0,0035568,"(1, -1, -1, 1, -1, 1, 1)"
1521,C# Db Eb F# Gn Ab Bb,113678A,0124779,"(1, -1, -1, 1, 0, -1, -1)"
1522,C# Db Eb F# Gn Ab Bn,113678B,0125779,"(1, -1, -1, 1, 0, -1, 0)"
1523,C# Db Eb F# Gn Ab B#,1136780,0113678,"(1, -1, -1, 1, 0, -1, 1)"
1524,C# Db Eb F# Gn An Bb,113679A,0134779,"(1, -1, -1, 1, 0, 0, -1)"
1525,C# Db Eb F# Gn An Bn,113679B,0135779,"(1, -1, -1, 1, 0, 0, 0)"
1526,C# Db Eb F# Gn An B#,1136790,0136779,"(1, -1, -1, 1, 0, 0, 1)"
1527,C# Db Eb F# Gn A# Bb,11367AA,0144779,"(1, -1, -1, 1, 0, 1, -1)"
1528,C# Db Eb F# Gn A# Bn,11367AB,0145779,"(1, -1, -1, 1, 0, 1, 0)"
1529,C# Db Eb F# Gn A# B#,11367A0,0146779,"(1, -1, -1, 1, 0, 1, 1)"
1530,C# Db Eb F# G# Ab Bb,113688A,0224779,"(1, -1, -1, 1, 1, -1, -1)"
1531,C# Db Eb F# G# Ab Bn,113688B,0224779,"(1, -1, -1, 1, 1, -1, 0)"
1532,C# Db Eb F# G# Ab B#,1136880,0025778,"(1, -1, -1, 1, 1, -1, 1)"
1533,C# Db Eb F# G# An Bb,113689A,0225679,"(1, -1, -1, 1, 1, 0, -1)"
1534,C# Db Eb F# G# An Bn,113689B,0224679,"(1, -1, -1, 1, 1, 0, 0)"
1535,C# Db Eb F# G# An B#,1136890,0223679,"(1, -1, -1, 1, 1, 0, 1)"
1536,C# Db Eb F# G# A# Bb,11368AA,0225579,"(1, -1, -1, 1, 1, 1, -1)"
1537,C# Db Eb F# G# A# Bn,11368AB,0224579,"(1, -1, -1, 1, 1, 1, 0)"
1538,C# Db Eb F# G# A# B#,11368A0,0223579,"(1, -1, -1, 1, 1, 1, 1)"
1539,C# Db En Fb Gb Ab Bb,114468A,0024699,"(1, -1, 0, -1, -1, -1, -1)"
1540,C# Db En Fb Gb Ab Bn,114468B,0024799,"(1, -1, 0, -1, -1, -1, 0)"
1541,C# Db En Fb Gb Ab B#,1144680,0114468,"(1, -1, 0, -1, -1, -1, 1)"
1542,C# Db En Fb Gb An Bb,114469A,0025699,"(1, -1, 0, -1, -1, 0, -1)"
1543,C# Db En Fb Gb An Bn,114469B,0024799,"(1, -1, 0, -1, -1, 0, 0)"
1544,C# Db En Fb Gb An B#,1144690,0014799,"(1, -1, 0, -1, -1, 0, 1)"
1545,C# Db En Fb Gb A# Bb,11446AA,0033668,"(1, -1, 0, -1, -1, 1, -1)"
1546,C# Db En Fb Gb A# Bn,11446AB,0133668,"(1, -1, 0, -1, -1, 1, 0)"
1547,C# Db En Fb Gb A# B#,11446A0,0225568,"(1, -1, 0, -1, -1, 1, 1)"
1548,C# Db En Fb Gn Ab Bb,114478A,0034699,"(1, -1, 0, -1, 0, -1, -1)"
1549,C# Db En Fb Gn Ab Bn,114478B,0025699,"(1, -1, 0, -1, 0, -1, 0)"
1550,C# Db En Fb Gn Ab B#,1144780,0114478,"(1, -1, 0, -1, 0, -1, 1)"
1551,C# Db En Fb Gn An Bb,114479A,0034699,"(1, -1, 0, -1, 0, 0, -1)"
1552,C# Db En Fb Gn An Bn,114479B,0024699,"(1, -1, 0, -1, 0, 0, 0)"
1553,C# Db En Fb Gn An B#,1144790,0014699,"(1, -1, 0, -1, 0, 0, 1)"
